,LOAN_ID,orig_rt,orig_amt,orig_trm,oltv,ocltv,num_bo,dti,CSCORE_B,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,CSCORE_C,relo_flg,MI_TYPE,ORIG_DTE,LAST_RT,LAST_UPB,msa,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,repch_flag,LAST_ACTIVITY_DATE,F30_DTE,F60_DTE,F90_DTE,F120_DTE,F180_DTE,FCE_DTE,F180_UPB,FCE_UPB,F30_UPB,F60_UPB,F90_UPB,MOD_FLAG,FMOD_DTE,FMOD_UPB,MODIR_COST,MODFB_COST,MODFG_COST,MODTRM_CHNG,MODUPB_CHNG,z_num_periods_120,F120_UPB,CSCORE_MN,ORIG_VAL,LAST_DTE,LAST_STAT,COMPLT_FLG,INT_COST,PFG_COST,NET_LOSS,NET_SEV,MODTOT_COST,F180_UPB_dum,F120_UPB_dum,F90_UPB_dum,F60_UPB_dum,F30_UPB_dum,time_arrears_tot,time_default,good_bad
17716,145000000000.0,6.375,81000,240,55,55,2.0,28.0,751.0,N,C,SF,1,P,TN,371,,710.0,N,None,01/10/2006,6.375,79807.53,34980,,,,,,,,,,0,01/07/2007,,,,,,,,,,,,0,,,,,0.0,0,0,,,710.0,147272.73,01/07/2007,P,,,,,,,0,0,0,0,0,0,0,1
17717,145000000000.0,6.375,84000,360,65,65,2.0,28.0,747.0,N,C,SF,1,P,WI,531,,737.0,N,None,01/11/2006,6.375,77758.03,0,,,,,,,,,,0,01/08/2012,,,,,,,,,,,,0,,,,,0.0,0,0,,,737.0,129230.77,01/08/2012,P,,,,,,,0,0,0,0,0,0,0,1
17718,145000000000.0,6.375,195000,360,95,95,2.0,51.0,714.0,Y,P,PU,1,P,AZ,853,30.0,663.0,N,BPMI,01/11/2006,6.375,137943.4,38060,,,,,,,,,,0,01/04/2015,,,,,,,,,,,,0,,,,,0.0,0,0,,,663.0,205263.16,01/04/2015,P,,,,,,,0,0,0,0,0,0,0,1
25923,145000000000.0,6.425,43000,360,73,73,1.0,45.0,623.0,N,R,SF,1,P,IL,626,,,N,None,01/11/2006,6.425,40568.12,44100,,,,,,,,,,0,01/10/2010,,,,,,,,,,,,0,,,,,0.0,0,0,,,623.0,58904.11,01/10/2010,P,,,,,,,0,0,0,0,0,0,0,1
26679,145000000000.0,6.5,199000,360,80,95,2.0,27.0,737.0,N,P,SF,1,P,WI,539,,739.0,N,None,01/10/2006,6.5,193796.85,31540,,,,,,,,,,0,01/02/2009,,,,,,,,,,,,0,,,,,0.0,0,0,,,737.0,248750.0,01/02/2009,P,,,,,,,0,0,0,0,0,0,0,1
26680,145000000000.0,6.5,218000,360,36,36,1.0,31.0,667.0,N,C,SF,4,I,CA,900,,,N,None,01/11/2006,6.5,199428.94,31100,,,,,,,,,,0,01/12/2010,,,,,,,,,,,,0,,,,,0.0,0,0,,,667.0,605555.56,01/12/2010,P,,,,,,,0,0,0,0,0,0,0,1
26681,145000000000.0,6.5,98000,360,95,95,2.0,28.0,747.0,N,R,SF,1,P,WI,549,25.0,667.0,N,BPMI,01/08/2006,6.5,88989.77,36780,,,,,,,,,,0,01/05/2013,,,,,,,,,,,,0,,,,,0.0,0,0,,,667.0,103157.89,01/05/2013,P,,,,,,,0,0,0,0,0,0,0,1
26682,145000000000.0,6.5,70000,360,63,63,1.0,23.0,813.0,Y,P,PU,1,P,VA,240,,,N,None,01/06/2006,6.5,66774.82,40220,,,,,,,,,,0,01/04/2009,,,,,,,,,,,,0,,,,,0.0,0,0,,,813.0,111111.11,01/04/2009,P,,,,,,,0,0,0,0,0,0,0,1
26683,145000000000.0,6.5,284000,360,80,80,1.0,38.0,715.0,N,P,PU,1,I,VA,201,,,N,None,01/09/2006,6.5,257674.3,47900,,,,,,,,,,0,01/06/2012,,,,,,,,,,,,0,,,,,0.0,0,0,,,715.0,355000.0,01/06/2012,P,,,,,,,0,0,0,0,0,0,0,1
26684,145000000000.0,6.5,400000,345,59,59,2.0,33.0,803.0,N,P,SF,1,P,FL,326,,808.0,N,None,01/06/2006,6.5,385670.96,23540,,,,,,,,,,0,01/05/2009,,,,,,,,,,,,0,,,,,0.0,0,0,,,803.0,677966.1,01/05/2009,P,,,,,,,0,0,0,0,0,0,0,1
26685,145000000000.0,6.5,66000,360,37,37,2.0,23.0,781.0,N,P,PU,1,P,NE,685,,,N,None,01/09/2006,6.5,61534.73,30700,,,,,,,,,,0,01/01/2012,,,,,,,,,,,,0,,,,,0.0,0,0,,,781.0,178378.38,01/01/2012,P,,,,,,,0,0,0,0,0,0,0,1
26686,145000000000.0,6.5,34000,360,48,48,2.0,13.0,763.0,N,C,SF,1,P,OH,444,,763.0,N,None,01/11/2006,6.5,33071.29,49660,,,,,,,,,,0,01/01/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,763.0,70833.33,01/01/2008,P,,,,,,,0,0,0,0,0,0,0,1
26687,145000000000.0,6.5,417000,360,54,54,1.0,29.0,712.0,N,R,PU,1,P,MD,210,,,N,None,01/09/2006,6.5,405471.81,12580,,,,,,,,,,0,01/04/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,712.0,772222.22,01/04/2008,P,,,,,,,0,0,0,0,0,0,0,1
26688,145000000000.0,6.5,135000,360,65,65,2.0,39.0,744.0,N,C,SF,1,P,IL,629,,767.0,N,None,01/10/2006,6.5,132601.37,0,,,,,,,,,,0,01/02/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,744.0,207692.31,01/02/2008,P,,,,,,,0,0,0,0,0,0,0,1
26689,145000000000.0,6.5,113000,360,73,73,2.0,23.0,806.0,N,P,SF,1,P,MT,599,,785.0,N,None,01/08/2006,6.5,111845.33,0,,,,,,,,,,0,01/09/2007,,,,,,,,,,,,0,,,,,0.0,0,0,,,785.0,154794.52,01/09/2007,P,,,,,,,0,0,0,0,0,0,0,1
34411,145000000000.0,6.625,59000,360,90,90,2.0,21.0,670.0,N,C,SF,1,P,IL,617,25.0,688.0,N,BPMI,01/10/2006,6.625,49741.03,0,,,,,,,,,,0,01/04/2011,,,,,,,,,,,,0,,,,,0.0,0,0,,,670.0,65555.56,01/04/2011,P,,,,,,,0,0,0,0,0,0,0,1
34412,145000000000.0,6.625,115000,360,80,80,2.0,30.0,801.0,N,C,SF,1,P,WI,535,,771.0,N,None,01/10/2006,6.625,107660.2,0,,,,,,,,,,0,01/03/2012,,,,,,,,,,,,0,,,,,0.0,0,0,,,771.0,143750.0,01/03/2012,P,,,,,,,0,0,0,0,0,0,0,1
34413,145000000000.0,6.625,150000,360,80,85,2.0,50.0,739.0,N,R,SF,1,P,VT,54,,733.0,N,None,01/10/2006,6.625,148853.59,15540,,,,,,,,,,0,01/06/2007,,,,,,,,,,,,0,,,,,0.0,0,0,,,733.0,187500.0,01/06/2007,P,,,,,,,0,0,0,0,0,0,0,1
34414,145000000000.0,6.625,62000,360,62,62,1.0,27.0,638.0,N,P,SF,1,P,MO,651,,,N,None,01/10/2006,6.625,46081.39,27620,,,,,,,,,,0,01/06/2011,,,,,,,,,,,,0,,,,,0.0,0,0,,,638.0,100000.0,01/06/2011,P,,,,,,,0,0,0,0,0,0,0,1
34415,145000000000.0,6.625,90000,360,69,69,1.0,27.0,697.0,N,P,SF,1,P,PR,9,,,N,None,01/10/2006,6.625,88761.36,41980,,,,,,,,,,0,01/03/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,697.0,130434.78,01/03/2008,P,,,,,,,0,0,0,0,0,0,0,1
34416,145000000000.0,6.625,400000,360,61,61,2.0,,768.0,N,C,CO,1,P,CA,930,,780.0,N,None,01/11/2006,6.625,395631.03,37100,,,,,,,,,,0,01/01/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,768.0,655737.7,01/01/2008,P,,,,,,,0,0,0,0,0,0,0,1
34417,145000000000.0,6.625,276000,360,36,36,2.0,41.0,809.0,N,C,SF,1,P,NJ,79,,817.0,N,None,01/09/2006,6.625,271880.47,35620,,,,,,,,,,0,01/03/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,809.0,766666.67,01/03/2008,P,,,,,,,0,0,0,0,0,0,0,1
38578,145000000000.0,6.65,50000,180,30,30,2.0,6.0,816.0,N,P,SF,1,P,OH,441,,816.0,N,None,01/10/2006,6.65,17865.46,17460,,,,,,,,,,0,01/10/2017,,,,,,,,,,,,0,,,,,0.0,0,0,,,816.0,166666.67,01/10/2017,P,,,,,,,0,0,0,0,0,0,0,1
38687,145000000000.0,6.69,156000,360,80,80,1.0,31.0,802.0,N,P,PU,1,P,OH,451,,,N,None,01/07/2006,6.69,151439.83,17140,,,,,,,,,,0,01/01/2009,,,,,,,,,,,,0,,,,,0.0,0,0,,,802.0,195000.0,01/01/2009,R,,,,,,,0,0,0,0,0,0,0,1
38952,145000000000.0,6.75,146000,360,80,80,1.0,24.0,796.0,N,P,SF,1,P,PA,170,,,N,None,01/09/2006,6.75,48382.88,30140,,,,,,,,,,0,01/07/2013,,,,,,,,,,,,0,,,,,0.0,0,0,,,796.0,182500.0,01/07/2013,P,,,,,,,0,0,0,0,0,0,0,1
38953,145000000000.0,6.75,111000,360,85,85,1.0,34.0,608.0,N,P,SF,1,P,OH,440,,,N,None,01/10/2001,6.75,14245.42,17460,,,,,,,,,,0,01/06/2015,,,,,,,,,,,,0,,,,,0.0,0,0,,,608.0,130588.24,01/06/2015,P,,,,,,,0,0,0,0,0,0,0,1
38954,145000000000.0,6.75,98000,360,79,79,2.0,33.0,680.0,N,C,SF,1,P,MI,499,,723.0,N,None,01/12/2006,6.75,88800.6,0,,,,,,,,,,0,01/11/2013,,,,,,,,,,,,0,,,,,0.0,0,0,,,680.0,124050.63,01/11/2013,P,,,,,,,0,0,0,0,0,0,0,1
38955,145000000000.0,6.75,60000,120,60,60,2.0,25.0,775.0,N,R,SF,1,P,ME,49,,693.0,N,None,01/09/2006,6.75,42957.2,0,,,,,,,,,,0,01/06/2010,,,,,,,,,,,,0,,,,,0.0,0,0,,,693.0,100000.0,01/06/2010,P,,,,,,,0,0,0,0,0,0,0,1
42274,145000000000.0,6.875,111000,360,80,90,2.0,35.0,808.0,N,P,SF,1,P,KS,660,,796.0,N,None,01/09/2006,6.875,107644.45,28140,,,,,,,,,,0,01/04/2009,,,,,,,,,,,,0,,,,,0.0,0,0,,,796.0,138750.0,01/04/2009,P,,,,,,,0,0,0,0,0,0,0,1
42275,145000000000.0,6.875,235000,360,84,84,2.0,54.0,742.0,N,R,SF,1,P,WI,546,12.0,723.0,N,BPMI,01/11/2006,6.875,233181.89,0,,,,,,,,,,0,01/10/2007,,,,,,,,,,,,0,,,,,0.0,0,0,,,723.0,279761.9,01/10/2007,P,,,,,,,0,0,0,0,0,0,0,1
45507,145000000000.0,7.0,78000,360,80,80,1.0,18.0,727.0,N,C,SF,1,P,MN,557,,,N,None,01/09/2006,7.0,76218.4,20260,,,,,,,,,,0,01/06/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,727.0,97500.0,01/06/2008,P,,,,,,,0,0,0,0,0,0,0,1
47454,145000000000.0,7.25,118000,360,66,66,2.0,64.0,747.0,N,R,SF,4,I,LA,708,,746.0,N,None,01/11/2006,7.25,114036.29,12940,,,,,,,,,,0,01/11/2009,,,,,,,,,,,,0,,,,,0.0,0,0,,,746.0,178787.88,01/11/2009,P,,,,,,,0,0,0,0,0,0,0,1
